"airport_name","city","country","IATA","ICAO","region"
"Pelotas","Pelotas","Brazil","PET","SBPK","America/Sao_Paulo"
"Senador Nilo Coelho","Petrolina","Brazil","PNZ","SBPL","America/Fortaleza"
"Porto Nacional","Porto Nacional","Brazil","PNB","SBPN","America/Fortaleza"
"Ponta Pora","Ponta Pora","Brazil","PMG","SBPP","America/Campo_Grande"
"Governador Jorge Teixeira De Oliveira","Porto Velho","Brazil","PVH","SBPV","America/Boa_Vista"
"Porter County Municipal Airport","Valparaiso","United States","NPZ",NA,"America/Chicago"
"PlÃ¡cido de Castro","Rio Branco","Brazil","RBR","SBRB","America/Rio_Branco"
"Guararapes Gilberto Freyre Intl","Recife","Brazil","REC","SBRF","America/Fortaleza"
"Rio Grande","Rio Grande","Brazil","RIG","SBRG","America/Sao_Paulo"
"Santos Dumont","Rio De Janeiro","Brazil","SDU","SBRJ","America/Sao_Paulo"
"Leite Lopes","Ribeirao Preto","Brazil","RAO","SBRP","America/Sao_Paulo"
"Santa Cruz","Rio De Janeiro","Brazil","STU","SBSC","America/Sao_Paulo"
"Professor Urbano Ernesto Stumpf","Sao Jose Dos Campos","Brazil","SJK","SBSJ","America/Sao_Paulo"
"Marechal Cunha Machado Intl","Sao Luis","Brazil","SLZ","SBSL","America/Fortaleza"
"Congonhas","Sao Paulo","Brazil","CGH","SBSP","America/Sao_Paulo"
"Sao Jose Do Rio Preto","Sao Jose Do Rio Preto","Brazil","SJP","SBSR","America/Sao_Paulo"
"Base Aerea De Santos","Santos","Brazil","SSZ","SBST","America/Sao_Paulo"
"Deputado Luis Eduardo Magalhaes","Salvador","Brazil","SSA","SBSV","America/Fortaleza"
"Trombetas","Oriximina","Brazil","TMT","SBTB","America/Boa_Vista"
"Senador Petronio Portella","Teresina","Brazil","THE","SBTE","America/Fortaleza"
"Tefe","Tefe","Brazil","TFF","SBTF","America/Boa_Vista"
"Tarauaca","Tarauaca","Brazil",NA,"SBTK","America/Rio_Branco"
"Telemaco Borba","Telemaco Borba","Brazil",NA,"SBTL","America/Sao_Paulo"
